Player,Year,Player Year,Games,Total plays,On-ball PRF/g,On-ball PRF baseline,On-ball Plays/g,On-ball rORTG,On-ball PC/g,Off-ball: Partner PRF/g,Off-ball: Partner PRF/g baseline,Off-ball: Partner Plays/g,Off-ball: Partner rORTG,Off-ball: Partner PC/g,Off-ball: Space PRF/g,Off-ball: Space PRF/g baseline,Off-ball: Space Plays/g,Off-ball: Space rORTG,Off-ball: Space PC/g,Off-ball: Crash PRF/g,Off-ball: Crash PRF/g baseline,Off-ball: Crash Plays/g,Off-ball: Crash rORTG,Off-ball: Crash PC/g,Transition PRF/g,Transition PRF/g baseline,Transition Plays/g,Transition rORTG,Transition PC/g,Total PRF/g,Total PRF/g baseline,Total Plays/g,Total rORTG,Total PC/g
Al Jefferson,2015-16,Al Jefferson 2015-16,47,757,10.1,9.7,10.6,4.3,0.46,2.3,2.2,2.1,7.2,0.15,0.6,0.7,0.7,-6.3,-0.04,2.6,2.8,2.4,-6.4,-0.16,0.4,0.3,0.3,39.3,0.11,16.0,15.5,16.1,3.2,0.52
Al Jefferson,2016-17,Al Jefferson 2016-17,66,696,6.3,6.3,6.6,0.2,0.01,1.8,1.9,1.8,-3.0,-0.05,0.1,0.2,0.2,-20.0,-0.03,2.0,2.0,1.8,2.3,0.04,0.2,0.2,0.2,13.9,0.03,10.4,10.4,10.5,-0.1,-0.01
Al Jefferson,2017-18,Al Jefferson 2017-18,34,322,5.6,5.4,5.6,4.3,0.25,1.8,1.7,1.6,3.3,0.05,0.3,0.4,0.4,-29.6,-0.12,1.8,1.8,1.6,1.5,0.02,0.3,0.3,0.3,16.1,0.04,9.8,9.5,9.5,2.6,0.24
Al Thornton,2007-08,Al Thornton 2007-08,76,1221,6.6,7.5,8.2,-11.1,-0.92,0.3,0.4,0.4,-15.6,-0.06,3.4,3.8,3.9,-10.3,-0.40,2.0,1.8,1.7,10.0,0.17,2.5,1.7,1.9,42.1,0.78,14.8,15.2,16.1,-2.7,-0.43
Al Thornton,2008-09,Al Thornton 2008-09,71,1571,9.7,10.6,11.6,-7.5,-0.87,0.4,0.4,0.4,5.3,0.02,3.9,4.4,4.5,-10.8,-0.48,3.4,3.2,2.9,6.8,0.20,3.1,2.5,2.7,24.0,0.65,20.6,21.1,22.1,-2.2,-0.49
Al Thornton,2009-10,Al Thornton 2009-10,75,1094,6.3,7.1,7.7,-9.4,-0.73,0.3,0.3,0.3,5.0,0.01,2.2,2.6,2.6,-12.0,-0.32,2.5,2.4,2.1,4.2,0.09,2.3,1.6,1.8,39.1,0.70,13.7,13.9,14.6,-1.6,-0.24
Al Thornton,2010-11,Al Thornton 2010-11,70,703,4.5,4.4,4.9,0.5,0.02,0.2,0.2,0.2,0.2,0.00,1.5,2.2,2.3,-30.3,-0.69,1.3,1.2,1.1,7.8,0.09,2.1,1.4,1.5,49.0,0.74,9.6,9.5,10.0,1.7,0.17
Al-Farouq Aminu,2010-11,Al-Farouq Aminu 2010-11,80,708,2.5,3.2,3.5,-21.2,-0.75,0.2,0.2,0.2,-11.6,-0.02,2.1,2.5,2.5,-15.0,-0.38,1.0,1.0,1.0,3.8,0.04,1.9,1.5,1.7,24.5,0.41,7.6,8.3,8.9,-7.9,-0.70
Al-Farouq Aminu,2011-12,Al-Farouq Aminu 2011-12,66,679,3.0,3.8,4.4,-18.0,-0.79,0.2,0.3,0.3,-6.5,-0.02,1.7,2.0,2.1,-15.4,-0.33,2.1,1.9,1.9,9.8,0.19,1.5,1.4,1.6,4.2,0.07,8.5,9.4,10.3,-8.6,-0.88
Al-Farouq Aminu,2012-13,Al-Farouq Aminu 2012-13,75,902,3.8,4.2,4.7,-9.1,-0.43,0.4,0.5,0.5,-14.2,-0.08,1.2,1.9,1.9,-35.5,-0.69,2.5,2.5,2.3,2.6,0.06,3.0,2.2,2.5,31.3,0.78,10.9,11.3,12.0,-3.0,-0.36
Al-Farouq Aminu,2013-14,Al-Farouq Aminu 2013-14,80,906,3.6,3.9,4.3,-7.8,-0.34,0.5,0.6,0.6,-11.6,-0.07,1.7,2.1,2.2,-21.2,-0.46,2.5,2.2,2.1,11.8,0.24,2.4,2.0,2.2,19.3,0.42,10.6,10.8,11.3,-1.7,-0.20
Al-Farouq Aminu,2014-15,Al-Farouq Aminu 2014-15,74,616,2.5,2.5,2.8,0.5,0.01,0.3,0.5,0.5,-42.4,-0.21,1.6,2.0,2.1,-17.2,-0.35,1.2,1.3,1.3,-8.2,-0.11,2.1,1.5,1.7,32.9,0.57,7.7,7.8,8.3,-1.1,-0.09
