Rk,Player,5 Best Seasons,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
96,Tim Duncan,2.20,2.51,2.37,2.19,1.97,1.94,1.78,1.27,1.19,1.03,1.02,0.57,,,,,,,,,,,
97,Dwight Howard,2.19,2.60,2.48,2.17,1.90,1.80,1.79,1.52,1.08,0.88,0.61,0.51,0.45,0.22,-0.10,-0.25,-0.62,,,,,,
98,Mike Miller,2.19,3.22,2.42,2.10,1.73,1.46,1.32,1.06,0.89,0.37,0.21,-0.06,,,,,,,,,,,
99,Allen Iverson,2.18,4.75,3.97,2.48,-0.12,-0.18,,,,,,,,,,,,,,,,,
100,Baron Davis,2.17,3.63,2.58,1.78,1.54,1.33,0.84,-0.76,,,,,,,,,,,,,,,
101,Arron Afflalo,2.12,3.34,3.11,2.02,1.26,0.91,0.90,0.66,0.51,0.01,-0.01,-0.21,,,,,,,,,,,
102,Harrison Barnes,2.12,2.44,2.30,2.11,1.99,1.78,1.71,1.28,0.81,0.79,0.64,0.35,0.08,,,,,,,,,,
103,LaMarcus Aldridge,2.10,3.05,2.19,1.83,1.73,1.70,1.65,1.44,1.39,1.28,1.14,0.90,0.82,0.47,0.40,0.22,-0.03,,,,,,
104,Jarrett Jack,2.09,2.85,2.40,2.21,1.68,1.31,0.55,0.40,0.24,0.17,0.14,0.12,-0.03,,,,,,,,,,
105,Norman Powell,2.09,2.60,2.16,2.09,1.91,1.68,0.85,0.46,0.40,-0.60,,,,,,,,,,,,,
106,Seth Curry,2.07,3.14,2.46,1.93,1.73,1.11,0.77,0.70,-0.22,,,,,,,,,,,,,,
107,Derrick White,2.06,3.38,2.72,2.03,1.31,0.87,0.50,,,,,,,,,,,,,,,,
108,Nicolas Batum,2.06,2.58,2.20,2.00,1.82,1.70,1.43,1.32,1.23,1.19,0.96,0.54,0.50,0.38,0.34,0.28,-0.51,,,,,,
109,Nate Robinson,2.06,3.59,2.71,1.47,1.31,1.21,0.80,0.58,0.16,0.10,0.04,,,,,,,,,,,,
110,JR Smith,2.06,2.30,2.04,2.02,1.98,1.97,1.87,1.68,1.66,1.35,0.79,0.74,0.06,-0.09,,,,,,,,,
111,Brandon Ingram,2.04,2.53,2.20,2.02,1.87,1.60,0.35,-0.05,-0.97,,,,,,,,,,,,,,
112,Joe Harris,2.04,3.27,2.21,1.74,1.67,1.31,0.90,0.11,-0.07,,,,,,,,,,,,,,
113,Malcolm Brogdon,2.02,3.06,2.39,1.67,1.54,1.45,1.38,0.92,0.82,,,,,,,,,,,,,,
114,Mike Dunleavy,2.01,2.70,2.60,1.94,1.49,1.33,0.95,0.54,0.52,0.47,0.38,0.27,-0.06,,,,,,,,,,
115,Luke Ridnour,2.01,2.84,2.09,1.95,1.84,1.32,0.62,0.59,-0.07,-0.26,-0.30,,,,,,,,,,,,
116,Brandon Roy,2.00,3.69,3.63,1.78,1.26,-0.34,,,,,,,,,,,,,,,,,
117,David Lee,1.99,2.49,2.27,2.22,1.56,1.41,1.23,1.20,0.97,0.84,0.80,0.49,0.25,,,,,,,,,,
118,Raja Bell,1.96,3.30,3.14,1.83,1.10,0.44,0.40,,,,,,,,,,,,,,,,
119,Mikal Bridges,1.96,3.19,2.93,2.20,1.06,0.43,0.18,,,,,,,,,,,,,,,,
120,Bojan Bogdanovic,1.95,2.37,2.04,1.86,1.80,1.70,1.44,1.17,0.10,,,,,,,,,,,,,,
121,Montrezl Harrell,1.95,2.50,1.96,1.94,1.72,1.64,1.52,0.64,0.41,,,,,,,,,,,,,,
122,Grant Hill,1.94,2.46,1.96,1.80,1.79,1.70,1.50,0.43,-0.89,,,,,,,,,,,,,,
123,Mike Bibby,1.93,2.57,2.36,1.88,1.47,1.39,0.69,0.21,,,,,,,,,,,,,,,
124,Ryan Anderson,1.93,2.70,2.22,1.73,1.50,1.47,1.27,1.00,0.68,0.60,-0.22,,,,,,,,,,,,
125,Jared Dudley,1.92,2.35,2.04,1.83,1.82,1.56,1.02,0.96,0.44,0.42,0.29,0.15,0.03,,,,,,,,,,
126,J.J. Barea,1.92,3.00,1.88,1.68,1.58,1.44,1.44,0.90,0.89,0.82,0.37,0.15,-0.12,-0.30,,,,,,,,,
127,Tobias Harris,1.89,2.04,2.02,1.96,1.75,1.66,1.48,1.43,1.39,1.29,1.14,0.92,0.34,-0.05,,,,,,,,,
128,Yao Ming,1.88,3.28,3.00,1.97,1.16,,,,,,,,,,,,,,,,,,
129,Pascal Siakam,1.88,3.03,2.85,1.34,1.32,0.86,0.81,0.27,-0.47,,,,,,,,,,,,,,
130,Luke Kennard,1.87,2.32,2.07,1.85,1.69,1.44,0.84,0.50,,,,,,,,,,,,,,,
131,Nene,1.85,3.02,2.22,1.74,1.17,1.09,0.90,0.67,0.57,0.56,0.44,0.27,-0.08,,,,,,,,,,
132,Richard Jefferson,1.85,2.92,1.82,1.65,1.51,1.33,0.92,0.90,0.84,0.84,0.74,0.56,0.19,,,,,,,,,,
133,Jeremy Lin,1.84,2.71,2.50,2.12,0.95,0.91,0.38,0.25,0.18,,,,,,,,,,,,,,
